date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
2022-02-01,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,232153,18661,0,0,28,8291,"(0.0, 2874960.0]"
2022-02-02,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,262316,19481,1,262316,21,12491,"(0.0, 2874960.0]"
2022-02-03,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,307752,22190,1,307752,14,21982,"(0.0, 2874960.0]"
2022-02-04,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,527850,28951,0,0,27,19550,"(0.0, 2874960.0]"
2022-02-05,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,518222,27465,1,518222,34,15242,"(0.0, 2874960.0]"
2022-02-06,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,516191,27220,1,516191,23,22443,"(0.0, 2874960.0]"
2022-02-07,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,478800,26805,0,0,28,17100,"(0.0, 2874960.0]"
2022-02-08,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),202411,189577,0,0,0,0,"(0.0, 2874960.0]"
2022-02-08,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,462472,26742,1,462472,21,22022,"(0.0, 2874960.0]"
2022-02-09,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,179154,36151,0,0,0,0,"(0.0, 2874960.0]"
2022-02-09,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),202752,221792,0,0,0,0,"(0.0, 2874960.0]"
2022-02-09,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,445696,24711,2,222848,16,27856,"(0.0, 2874960.0]"
2022-02-10,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,499134,53206,3,166378,4,124783,"(0.0, 2874960.0]"
2022-02-10,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),199155,195109,0,0,0,0,"(0.0, 2874960.0]"
2022-02-10,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1172753,68345,7,167536,28,41884,"(0.0, 2874960.0]"
2022-02-11,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,332905,40862,2,166453,0,0,"(0.0, 2874960.0]"
2022-02-11,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),199045,190970,0,0,0,0,"(0.0, 2874960.0]"
2022-02-11,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1331799,74241,4,332950,39,34149,"(0.0, 2874960.0]"
2022-02-12,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,330084,24284,0,0,0,0,"(0.0, 2874960.0]"
2022-02-12,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),199793,174896,0,0,0,0,"(0.0, 2874960.0]"
2022-02-12,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1056360,60729,10,105636,24,44015,"(0.0, 2874960.0]"
2022-02-13,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,329239,22239,2,164619,3,109746,"(0.0, 2874960.0]"
2022-02-13,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),200783,173137,0,0,0,0,"(0.0, 2874960.0]"
2022-02-13,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1053089,62958,5,210618,33,31912,"(0.0, 2874960.0]"
2022-02-14,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,362184,33287,2,181092,4,90546,"(0.0, 2874960.0]"
2022-02-14,첫구매,카카오모먼트,220203_카카오비즈보드(전환_앱),200728,203261,0,0,0,0,"(0.0, 2874960.0]"
2022-02-14,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,1144040,70681,8,143005,49,23348,"(0.0, 2874960.0]"
2022-02-15,첫구매,ACe,★ [AOS] ACe_앱오픈&미구매 유저,249371,57228,0,0,2,124686,"(0.0, 2874960.0]"
