,date,label,media,campaign,spend,imp,install,CPI,first_purchase,cpa,binned
2,2022.2.1,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,153705,31896,0,0,8,19213,
3,2022.2.1,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,153507,6014,114,1347,4,38377,"(0.0, 455.0]"
4,2022.2.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,634655,80685,787,806,21,30222,"(455.0, 910.0]"
5,2022.2.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,903433,233617,724,1248,29,31153,"(455.0, 910.0]"
9,2022.2.2,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,152623,23376,0,0,5,30525,
10,2022.2.2,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,152834,5693,119,1284,6,25472,"(0.0, 455.0]"
11,2022.2.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,636211,77958,775,821,28,22722,"(455.0, 910.0]"
12,2022.2.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1024772,230611,1084,945,27,37955,"(910.0, 1365.0]"
16,2022.2.3,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,152768,21846,0,0,9,16974,
17,2022.2.3,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,152979,5727,70,2185,3,50993,"(0.0, 455.0]"
18,2022.2.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,684074,74654,834,820,29,23589,"(455.0, 910.0]"
19,2022.2.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1117794,182942,1043,1072,23,48600,"(910.0, 1365.0]"
23,2022.2.4,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,29807,4475,0,0,3,9936,
24,2022.2.4,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,31812,931,21,1515,6,5302,"(0.0, 455.0]"
25,2022.2.4,인스톨,페이스북,fb_app_install_catalog_aos_2201,603502,52731,633,953,14,43107,"(455.0, 910.0]"
26,2022.2.4,인스톨,페이스북,fb_app_install_catalog_ios_2201,1032303,57307,1040,993,7,147472,"(910.0, 1365.0]"
27,2022.2.4,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,92547,6017,97,954,0,0,"(0.0, 455.0]"
28,2022.2.4,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,91664,15341,0,0,0,0,
32,2022.2.5,인스톨,페이스북,fb_app_install_catalog_aos_2201,903895,81535,1013,892,0,0,"(910.0, 1365.0]"
33,2022.2.5,인스톨,페이스북,fb_app_install_catalog_ios_2201,1507305,199087,381,3956,17,88665,"(0.0, 455.0]"
34,2022.2.5,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,118490,16612,167,710,4,29622,"(0.0, 455.0]"
35,2022.2.5,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,119031,22021,0,0,0,0,
39,2022.2.6,인스톨,페이스북,fb_app_install_catalog_aos_2201,797697,92086,950,840,0,0,"(910.0, 1365.0]"
40,2022.2.6,인스톨,페이스북,fb_app_install_catalog_ios_2201,1329557,221430,1111,1197,19,69977,"(910.0, 1365.0]"
41,2022.2.6,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,133235,38531,205,650,3,44412,"(0.0, 455.0]"
42,2022.2.6,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,133618,6600,0,0,0,0,
46,2022.2.7,인스톨,페이스북,fb_app_install_catalog_aos_2201,794730,96830,770,1032,12,66227,"(455.0, 910.0]"
47,2022.2.7,인스톨,페이스북,fb_app_install_catalog_ios_2201,1324782,266316,1335,992,21,63085,"(910.0, 1365.0]"
48,2022.2.7,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,121616,42923,165,737,1,121616,"(0.0, 455.0]"
49,2022.2.7,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,133697,9255,0,0,0,0,
53,2022.2.8,인스톨,페이스북,fb_app_install_catalog_aos_2201,792329,120451,827,958,18,44018,"(455.0, 910.0]"
54,2022.2.8,인스톨,페이스북,fb_app_install_catalog_ios_2201,1323055,251835,1137,1164,22,60139,"(910.0, 1365.0]"
55,2022.2.8,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,69189,11533,40,1730,0,0,"(0.0, 455.0]"
56,2022.2.8,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,80624,6975,0,0,0,0,
57,2022.2.8,인스톨,페이스북,fb_app_install_registration_catalog_aos_2202,27723,3857,17,1631,0,0,"(0.0, 455.0]"
62,2022.2.9,인스톨,페이스북,fb_app_install_catalog_aos_2201,793332,150887,798,994,11,72121,"(455.0, 910.0]"
63,2022.2.9,인스톨,페이스북,fb_app_install_catalog_ios_2201,1325257,257117,237,5592,14,94661,"(0.0, 455.0]"
64,2022.2.9,인스톨,페이스북,fb_app_install_registration_catalog_aos_2202,131442,32230,116,1133,1,131442,"(0.0, 455.0]"
65,2022.2.9,인스톨,페이스북,fb_app_install_registration_catalog_ios_2202,136453,46356,0,0,5,27291,
71,2022.2.10,인스톨,페이스북,fb_app_install_catalog_aos_2201,774379,163769,761,1018,7,110626,"(455.0, 910.0]"
72,2022.2.10,인스톨,페이스북,fb_app_install_catalog_ios_2201,1323213,247841,872,1517,18,73512,"(455.0, 910.0]"
73,2022.2.10,인스톨,페이스북,fb_app_install_registration_catalog_aos_2202,119321,26244,103,1158,1,119321,"(0.0, 455.0]"
74,2022.2.10,인스톨,페이스북,fb_app_install_registration_catalog_ios_2202,135359,40397,0,0,4,33840,
80,2022.2.11,인스톨,페이스북,fb_app_install_catalog_aos_2201,792131,167094,674,1175,26,30467,"(455.0, 910.0]"
81,2022.2.11,인스톨,페이스북,fb_app_install_catalog_ios_2201,1301253,234553,1063,1224,9,144584,"(910.0, 1365.0]"
82,2022.2.11,인스톨,페이스북,fb_app_install_registration_catalog_aos_2202,111381,7707,21,5304,0,0,"(0.0, 455.0]"
83,2022.2.11,인스톨,페이스북,fb_app_install_registration_catalog_ios_2202,113109,23031,0,0,4,28277,
89,2022.2.12,인스톨,페이스북,fb_app_install_catalog_aos_2201,794782,181245,695,1144,13,61137,"(455.0, 910.0]"
90,2022.2.12,인스톨,페이스북,fb_app_install_catalog_ios_2201,1305183,230761,974,1340,15,87012,"(910.0, 1365.0]"
96,2022.2.13,인스톨,페이스북,fb_app_install_catalog_aos_2201,795996,123669,752,1059,25,31840,"(455.0, 910.0]"
97,2022.2.13,인스톨,페이스북,fb_app_install_catalog_ios_2201,1330467,218505,1159,1148,5,266093,"(910.0, 1365.0]"
103,2022.2.14,인스톨,페이스북,fb_app_install_catalog_aos_2201,768444,113167,613,1254,16,48028,"(455.0, 910.0]"
104,2022.2.14,인스톨,페이스북,fb_app_install_catalog_ios_2201,1294514,234467,1148,1128,8,161814,"(910.0, 1365.0]"
110,2022.2.15,인스톨,페이스북,fb_app_install_catalog_aos_2201,802577,82102,611,1314,15,53505,"(455.0, 910.0]"
111,2022.2.15,인스톨,페이스북,fb_app_install_catalog_ios_2201,1271908,173868,998,1274,9,141323,"(910.0, 1365.0]"
117,2022.2.16,인스톨,페이스북,fb_app_install_catalog_aos_2201,807299,78838,611,1321,25,32292,"(455.0, 910.0]"
118,2022.2.16,인스톨,페이스북,fb_app_install_catalog_ios_2201,1366354,141472,807,1693,9,151817,"(455.0, 910.0]"
124,2022.2.17,인스톨,페이스북,fb_app_install_catalog_aos_2201,917625,69738,595,1542,17,53978,"(455.0, 910.0]"
125,2022.2.17,인스톨,페이스북,fb_app_install_catalog_ios_2201,1542671,206330,668,2309,10,154267,"(455.0, 910.0]"
131,2022.2.18,인스톨,페이스북,fb_app_install_catalog_aos_2201,913423,68952,578,1580,13,70263,"(455.0, 910.0]"
132,2022.2.18,인스톨,페이스북,fb_app_install_catalog_ios_2201,1529961,184992,1180,1297,16,95623,"(910.0, 1365.0]"
138,2022.2.19,인스톨,페이스북,fb_app_install_catalog_aos_2201,888776,65420,657,1353,20,44439,"(455.0, 910.0]"
139,2022.2.19,인스톨,페이스북,fb_app_install_catalog_ios_2201,1491785,192010,981,1521,7,213112,"(910.0, 1365.0]"
145,2022.2.20,인스톨,페이스북,fb_app_install_catalog_aos_2201,923358,79488,705,1310,12,76946,"(455.0, 910.0]"
146,2022.2.20,인스톨,페이스북,fb_app_install_catalog_ios_2201,1547813,212297,997,1552,21,73705,"(910.0, 1365.0]"
152,2022.2.21,인스톨,페이스북,fb_app_install_catalog_aos_2201,912817,83362,627,1456,15,60854,"(455.0, 910.0]"
153,2022.2.21,인스톨,페이스북,fb_app_install_catalog_ios_2201,1301677,194318,1179,1104,16,81355,"(910.0, 1365.0]"
160,2022.2.22,인스톨,페이스북,fb_app_install_catalog_aos_2201,917958,64505,719,1277,16,57372,"(455.0, 910.0]"
161,2022.2.22,인스톨,페이스북,fb_app_install_catalog_ios_2201,1377362,194136,943,1461,12,114780,"(910.0, 1365.0]"
168,2022.2.23,인스톨,페이스북,fb_app_install_catalog_aos_2201,705282,45559,629,1121,9,78365,"(455.0, 910.0]"
169,2022.2.23,인스톨,페이스북,fb_app_install_catalog_ios_2201,1242039,173199,954,1302,22,56456,"(910.0, 1365.0]"
170,2022.2.23,인스톨,페이스북,fb_app_install_static_aos_2202,38009,1898,3,12670,0,0,"(0.0, 455.0]"
176,2022.2.24,인스톨,페이스북,fb_app_install_catalog_aos_2201,375073,30478,344,1090,8,46884,"(0.0, 455.0]"
177,2022.2.24,인스톨,페이스북,fb_app_install_catalog_ios_2201,1176850,167096,919,1281,10,117685,"(910.0, 1365.0]"
178,2022.2.24,인스톨,페이스북,fb_app_install_static_aos_2202,37494,2037,5,7499,0,0,"(0.0, 455.0]"
184,2022.2.25,인스톨,페이스북,fb_app_install_catalog_aos_2201,374755,30506,398,942,6,62459,"(0.0, 455.0]"
185,2022.2.25,인스톨,페이스북,fb_app_install_catalog_ios_2201,1200405,169313,835,1438,12,100034,"(455.0, 910.0]"
191,2022.2.26,인스톨,페이스북,fb_app_install_catalog_aos_2201,368642,30704,448,823,12,30720,"(0.0, 455.0]"
192,2022.2.26,인스톨,페이스북,fb_app_install_catalog_ios_2201,1200192,176135,813,1476,13,92322,"(455.0, 910.0]"
198,2022.2.27,인스톨,페이스북,fb_app_install_catalog_aos_2201,383840,29793,456,842,15,25589,"(455.0, 910.0]"
199,2022.2.27,인스톨,페이스북,fb_app_install_catalog_ios_2201,1228525,189006,954,1288,2,614263,"(910.0, 1365.0]"
207,2022.2.28,인스톨,페이스북,fb_app_install_catalog_aos_2201,380321,27587,415,916,9,42258,"(0.0, 455.0]"
208,2022.2.28,인스톨,페이스북,fb_app_install_catalog_ios_2201,1221624,194387,1043,1171,7,174518,"(910.0, 1365.0]"
218,2022.3.1,인스톨,페이스북,fb_app_install_catalog_aos_2201,381262,31849,455,838,24,15886,"(0.0, 455.0]"
219,2022.3.1,인스톨,페이스북,fb_app_install_catalog_ios_2201,1222413,195348,945,1294,9,135824,"(910.0, 1365.0]"
229,2022.3.2,인스톨,페이스북,fb_app_install_catalog_aos_2201,380397,32220,446,853,14,27171,"(0.0, 455.0]"
230,2022.3.2,인스톨,페이스북,fb_app_install_catalog_ios_2201,1215982,196183,1088,1118,9,135109,"(910.0, 1365.0]"
240,2022.3.3,인스톨,페이스북,fb_app_install_catalog_aos_2201,379275,30544,402,943,26,14587,"(0.0, 455.0]"
241,2022.3.3,인스톨,페이스북,fb_app_install_catalog_ios_2201,1206866,179128,827,1459,13,92836,"(455.0, 910.0]"
