year,month,season,label,media,campaign,install,first_purchase,spend,cpi,cpa,cvr
2022,2,non_season,fp,ACe,★ [AOS] ACe_앱오픈&미구매 유저,21,72,6234017,296857.95238095237,86583.56944444444,3.4285714285714284
2022,2,non_season,fp,카카오모먼트,220203_카카오비즈보드(전환_앱),10,21,3976786,397678.6,189370.7619047619,2.1
2022,2,non_season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,385,960,38142483,99071.38441558441,39731.753125,2.4935064935064934
2022,3,season,fp,ACe,★ [AOS] ACe_앱오픈&미구매 유저,18,91,9898927,549940.3888888889,108779.41758241758,5.055555555555555
2022,3,season,fp,몰로코,29cm_a_re_kor_newpurchase,72,146,11297774,156913.52777777778,77382.01369863014,2.0277777777777777
2022,3,season,fp,몰로코,29cm_i_re_kor_newpurchase,3,4,2307193,769064.3333333334,576798.25,1.3333333333333333
2022,3,season,fp,카카오모먼트,220203_카카오비즈보드(전환_앱),1,8,1279938,1279938.0,159992.25,8.0
2022,3,season,fp,크리테오,App CAM_1st purchase_AOS,5,141,6484138,1296827.6,45986.794326241135,28.2
2022,3,season,fp,크리테오,App CAM_1st purchase_iOS,11,83,7238305,658027.7272727273,87208.49397590362,7.545454545454546
2022,3,season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,990,2489,80395585,81207.66161616161,32300.35556448373,2.514141414141414
2022,4,season,fp,moweb_디스커버리,220411_29CM_branding_discovery,64,6,0,0.0,0.0,0.09375
2022,4,season,fp,구글 디스커버리,220411_29CM_branding_discovery,108,12,4848410,44892.68518518518,404034.1666666667,0.1111111111111111
2022,4,season,fp,몰로코,29cm_a_re_kor_newpurchase,0,16,1141,inf,71.3125,inf
2022,4,season,fp,크리테오,App CAM_1st purchase_AOS,4,304,6083651,1520912.75,20012.009868421053,76.0
2022,4,season,fp,크리테오,App CAM_1st purchase_iOS,8,75,3837312,479664.0,51164.16,9.375
2022,4,season,fp,페이스북,fb_conversion_visit_catalog_2201_daba,821,2381,82978943,101070.57612667479,34850.45905081899,2.900121802679659
2022,4,season,fp,페이스북,fb_conversion_visit_catalog_2204_daba_2540ua,357,355,50974787,142786.5182072829,143590.94929577466,0.9943977591036415
2022,5,season,fp,moweb_디스커버리,220411_29CM_branding_discovery,104,17,0,0.0,0.0,0.16346153846153846
2022,5,season,fp,구글 디스커버리,220411_29CM_branding_discovery,141,56,8351637,59231.46808510638,149136.375,0.3971631205673759
2022,5,season,fp,몰로코,29cm_a_re_kor_newpurchase,0,2,0,,0.0,inf
2022,5,season,fp,카카오모먼트,220106_카카오비즈보드(방문_앱),1575,237,17766947,11280.60126984127,74966.02109704641,0.15047619047619049
