,date,label,media,campaign,spend,imp,click,install,CPI,first_purchase,cpa,month,year
0,2022-02-01,인스톨,ACi,★ [AOS] UAC_Action,999443.5,80541,1825,298,3353.837248,5,199888.7,2,2022
1,2022-02-01,인스톨,ACi,★ [AOS] UAC_Install,796626.6,94885,2774,449,1774.224053,7,113803.8,2,2022
2,2022-02-01,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,153704.606,31896,1878,0,0.0,8,19213.07575,2,2022
3,2022-02-01,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,153506.771,6014,831,114,1346.550623,4,38376.69275,2,2022
4,2022-02-01,인스톨,페이스북,fb_app_install_catalog_aos_2201,634654.68,80685,5916,787,806.4227192,21,30221.65143,2,2022
5,2022-02-01,인스톨,페이스북,fb_app_install_catalog_ios_2201,903433.311,233617,16440,724,1247.836065,29,31152.87279,2,2022
6,2022-02-01,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,232152.778,18661,1572,0,0.0,28,8291.170643,2,2022
7,2022-02-02,인스톨,ACi,★ [AOS] UAC_Action,1397497.2,145516,3012,405,3450.61037,5,279499.44,2,2022
8,2022-02-02,인스톨,ACi,★ [AOS] UAC_Install,954107.0,102424,3047,501,1904.40519,10,95410.7,2,2022
9,2022-02-02,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,152623.108,23376,1798,0,0.0,5,30524.6216,2,2022
10,2022-02-02,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,152834.132,5693,756,119,1284.320437,6,25472.35533,2,2022
11,2022-02-02,인스톨,페이스북,fb_app_install_catalog_aos_2201,636210.982,77958,5801,775,820.9173961,28,22721.82079,2,2022
12,2022-02-02,인스톨,페이스북,fb_app_install_catalog_ios_2201,1024772.111,230611,18236,1084,945.361726,27,37954.52263,2,2022
13,2022-02-02,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,262316.021,19481,1610,1,262316.021,21,12491.2391,2,2022
14,2022-02-03,인스톨,ACi,★ [AOS] UAC_Action,1357609.0,157733,2664,352,3856.84375,7,193944.1429,2,2022
15,2022-02-03,인스톨,ACi,★ [AOS] UAC_Install,352071.5,33314,1059,163,2159.947853,4,88017.875,2,2022
16,2022-02-03,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,152768.187,21846,1408,0,0.0,9,16974.243,2,2022
17,2022-02-03,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,152979.211,5727,575,70,2185.4173,3,50993.07033,2,2022
18,2022-02-03,인스톨,페이스북,fb_app_install_catalog_aos_2201,684073.863,74654,6014,834,820.2324496,29,23588.7539,2,2022
19,2022-02-03,인스톨,페이스북,fb_app_install_catalog_ios_2201,1117794.128,182942,14724,1043,1071.710573,23,48599.7447,2,2022
20,2022-02-03,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,307752.126,22190,1704,1,307752.126,14,21982.29471,2,2022
21,2022-02-04,인스톨,ACi,★ [AOS] UAC_Action,1367621.2,138218,2811,369,3706.290515,5,273524.24,2,2022
22,2022-02-04,인스톨,ACi,★ [AOS] UAC_Install,518478.4,50667,1206,180,2880.435556,1,518478.4,2,2022
23,2022-02-04,인스톨,페이스북,fb_app_install__addcart_catalog_ios_2201,29807.14,4475,309,0,0.0,3,9935.713333,2,2022
24,2022-02-04,인스톨,페이스북,fb_app_install_addcart_catalog_aos_2201,31811.868,931,119,21,1514.850857,6,5301.978,2,2022
25,2022-02-04,인스톨,페이스북,fb_app_install_catalog_aos_2201,603502.262,52731,4402,633,953.4000979,14,43107.30443,2,2022
26,2022-02-04,인스톨,페이스북,fb_app_install_catalog_ios_2201,1032303.03,57307,4116,1040,992.5990673,7,147471.8614,2,2022
27,2022-02-04,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,92547.213,6017,713,97,954.0949794,0,0.0,2,2022
28,2022-02-04,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,91663.55,15341,1709,0,0.0,0,0.0,2,2022
29,2022-02-04,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,527850.158,28951,2167,0,0.0,27,19550.00585,2,2022
30,2022-02-05,인스톨,ACi,★ [AOS] UAC_Action,1363015.5,125097,2924,367,3713.938692,2,681507.75,2,2022
31,2022-02-05,인스톨,ACi,★ [AOS] UAC_Install,1789546.0,144562,3854,525,3408.659048,4,447386.5,2,2022
32,2022-02-05,인스톨,페이스북,fb_app_install_catalog_aos_2201,903894.926,81535,6851,1013,892.2950898,0,0.0,2,2022
33,2022-02-05,인스톨,페이스북,fb_app_install_catalog_ios_2201,1507304.865,199087,21275,381,3956.180748,17,88664.99206,2,2022
34,2022-02-05,인스톨,페이스북,fb_app_install_contentview_catalog_aos_2202,118489.976,16612,1245,167,709.5208144,4,29622.494,2,2022
35,2022-02-05,인스톨,페이스북,fb_app_install_contentview_catalog_ios_2202,119030.725,22021,1685,0,0.0,0,0.0,2,2022
36,2022-02-05,첫구매,페이스북,fb_conversion_visit_catalog_2201_daba,518222.188,27465,2055,1,518222.188,34,15241.82906,2,2022
